Parameter,Value
Machine,
Configuration,BSARB
MachineInnerRadius_mm,13.183827353862867
MachineOuterRadius_mm,24.0
MachineThickness_mm,26.273
FullMachineOuterRadius_mm,24.0
FullMachineInnerRadius_mm,13.184
AirGapThickness_mm,0.5
Stator,
BackIronStatorThickness_mm,4.235606175791107
BackIronStatorInnerRadius_mm,14.654
BackIronStatorOuterRadius_mm,22.53
TeethNumber,18
TeethThickness_mm,14.014422355491936
TeethInnerRadius_mm,14.654
TeethOuterRadius_mm,22.53
PoleShoeThickness_mm,3.0
CoilGapDistance_mm,0.1
CoilAdjacentDistance_mm,0.2
CoilWidth_mm,1.4703176930783486
StatorMaxThickness_mm,18.5
StatorMinThickness_mm,18.5
TeethMaterial,NO30-Cogent
BackIronMaterial,NO30-Cogent
CoilMaterial,Copper
AirRingMaterial,Air
Rotor,
BackIronRotorThickness_mm,1.0516155756762398
MagnetsNumber,20
MagnetsThickness_mm,6.4715765529006735
MagnetsInnerRadius_mm,14.154
MagnetsOuterRadius_mm,23.029999999999998
StructureStepWidthRatio_mm,1000.0
XThickness_mm,1.0
XToMagnetRatio_mm,2500.0
RotorMaxThickness_mm,7.773000000000001
RotorMinThickness_mm,7.773000000000001
StructureMaterial,Air
MagnetsMaterial,BMN-52SH (GBD)
XMaterial,NO30-Cogent
BackIronMaterial,AISI 1010 Annealed
AirRingMaterial,Air
Simulation,
NumberOfPhases,3
CurrentDensityRMS,15000000.0
DCSupplyVoltage,48.0
FillFactor,0.6
RPM,2500.0
MagnetTemperature_C,20.0
DynamicSourceMagnetization,False
Slots,18
Poles,20
ElectricalFrequency_Hz,416.66666666666663
CurrentDensityPeak,21213203.43559643
Output,
SlotFillFactor,
RmsSupplyCurrent_A,170.37132636048804
PeakSupplyCurrent_A,240.941440378495
PeakCurrentDensity_Aperm2,12727922.061357858
AverageDAxisPhase_A,-0.0
AverageQAxisPhase_A,240.94144037849657
AverageDAxisPhase_V,-0.3283294973857907
AverageQAxisPhase_V,0.5416423090692607
PeakPhaseBackEmf_V,0.5000392864864536
RmsPhaseBackEmf_V,0.35358117033425407
PeakPhaseTerminalVoltage_V,0.6333850723118493
PeakLineToLineTerminalVoltage_SVM_V,1.0970551259998103
PeakLineToLineBackEmf_V,0.866093449975027
RmsLineToLineBackEmf_V,0.6124205516185934
PeakPhaseInducedVoltage_V,0.5844356169015624
RmsPhaseInducedVoltage_V,0.413258387878038
PeakLineToLineInducedVoltage_V,1.012272182226366
RmsLineToLineInducedVoltage_V,0.715784524458768
TotalTorque_Nm,0.7021977167243517
ReluctanceTorque_Nm,-0.0
MagnetTorque_Nm,0.6829892028757931
CoggingTorque_Nm,-0.014000744232471699
TorqueRipple_Percent,1.9974096605714253
TorqueRippleAbsolute_Nm,0.014025765030164172
TorquePerAxialHeight_NmPerm,26.726971290844276
TorquePerMachineCost_NmPerDollar,
TorqueDensity_NmPerKg,3.872109140146461
TorqueDensityCopperMass_NmPerKg,14.220942372784194
TorqueDensityMagnetMass_NmPerKg,17.04947239411284
ApperentElectricalPower_W,228.91306745558273
ActiveElectricalPower_W,195.75611717562373
OutputMechanicalPower_KW,0.18382139181265753
Efficiency_Percent,88.92078167381851
PowerFactor,0.855154838260194
StatorWindingResistanceLoss_W,21.016147590165133
StatorWindingSimulationLoss_W,21.016168085332154
TotalIronCoreLoss_W,1.6034976269286665
EddyCurrentIronCoreLoss_W,0.0
SteinmetzHysteresisLossTeeth_W,0.17353661117393065
SteinmetzHysteresisLossBackirons_W,0.04257707358518347
SteinmetzHysteresisLossPoleshoes_W,0.0
SteinmetzLossTotal_W,0.21611368475911413
SteinmetzEddyHysteresisLossTeeth_W,0.1980983857674988
SteinmetzEddyLossTeeth_W,7.899242466431505e-13
SteinmetzEddyHysteresisLossBackirons_W,0.04860328371137995
SteinmetzEddyLossBackirons_W,1.8574331591980532e-13
SteinmetzEddyHysteresisLossPoleshoes_W,0.0
SteinmetzEddyLossPoleshoes_W,0.0
SteinmetzEddyLossTotal_W,0.24670166947985442
BertottiHysteresisLossTeeth_W,0.003302058650701452
BertottiEddyLossTeeth_W,5.01299357633153
BertottiExcessLossTeeth_W,0.4811911166489292
BertottiHysteresisLossBackirons_W,0.0019368460759486852
BertottiEddyLossBackirons_W,1.1787586638964718
BertottiExcessLossBackirons_W,0.1342690249360159
BertottiHysteresisLossPoleshoes_W,0.0
BertottiEddyLossPoleshoes_W,0.0
BertottiExcessLossPoleshoes_W,0.0
BertottiLossTotal_W,6.812451286539597
MaxwellHysteresisLossTeeth_W,0.011445648521001
MaxwellEddyLossTeeth_W,4.7690202170360285
MaxwellExcessLossTeeth_W,0.5432526455127105
MaxwellHysteresisLossBackirons_W,0.0026913374518857582
MaxwellEddyLossBackirons_W,1.121390604941171
MaxwellExcessLossBackirons_W,0.15158634580554942
MaxwellHysteresisLossPoleshoes_W,0.0
MaxwellEddyLossPoleshoes_W,0.0
MaxwellExcessLossPoleshoes_W,0.0
MaxwellLossTotal_W,6.599386799268346
MagnetEddyCurrentLoss_W,0.23142857142857146
OtherEddyCurrentLoss_W,0.05242857142857143
WindingEddyCurrentLoss_W,0
RotorStructureEddyCurrentLoss_W,0.0
TotalLoss_W,22.90350235995094
BRemanent_T,1.4486227210761375
HcJ_kAPerM,1594.7740720039003
Hd5_kAPerM,1552.9736594088474
Hd10_kAPerM,1567.1478588375633
MaxDemagField_kAPerM,-1068.3439707271714
MinDemagField_kAPerM,-1239.6110102752864
MaxDemagFactor,0.7052604054191723
MinDemagFactor,0.7052604054191723
DemagFactorPercentile99_9,0.7052604054191723
DemagFactorPercentile99,0.7052604054191723
DemagFactorPercentile95,0.7052604054191723
DemagFactorPercentile90,0.7052604054191723
DemagFactorPercentile85,0.7052604054191723
DemagFactorPercentile80,0.7052604054191723
PercentileOfDemagFactorAt0_9_Percent,100.0
PercentileOfDemagFieldAtHd5_Percent,100.0
PercentileOfDemagFieldAtHd10_Percent,100.0
DemagFactorMean,0.705
DemagFactorStandardDeviation,0.0
DemagFactorCorrelationCoefficientR2,-inf
DemagPerformanceDegrationOnTorque_Percent,1.03
DiscretizationError_Percent,
VelocityConstantPhasePeakKv_RpmPerV,5053.1280675315975
VelocityConstantOptimalNoLoadPhasePeakKv_RpmPerV,4999.6071660016
BackEmfConstantPhasePeakKe_VPerRpm,0.00019789722061972002
BackEmfConstantPhasePeakKeElec_VsPerRad,0.0001889779253146548
BackEmfConstantPhasePeakKeMech_VsPerRad,0.0018897792531465478
BackEmfConstantLineToLineRmsKe_VPerRpm,0.0002423736060166519
BackEmfConstantLineToLineRmsKeElec_VsPerRad,0.00023144974483534615
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.0023144974483534616
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,0.00020001571459458143
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,0.00019100093804271233
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.0019100093804271232
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,0.00024496822064743736
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,0.00023392741929879456
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.0023392741929879456
TorqueConstantKtFromFluxLinkage_NmPerA,0.0028346688797198216
TorqueConstantKtFromFluxLinkage_NmPerArms,0.00400882717453672
TorqueConstantOptimalNoLoadKt_NmPerA,0.002865014070640685
