Parameter,Value
Machine,
Configuration,BSARB
MachineInnerRadius_mm,10.005745395213545
MachineOuterRadius_mm,24.0
MachineThickness_mm,29.533
FullMachineOuterRadius_mm,24.0
FullMachineInnerRadius_mm,10.005999999999998
AirGapThickness_mm,0.5
Stator,
BackIronStatorThickness_mm,4.360728568444442
BackIronStatorInnerRadius_mm,11.82
BackIronStatorOuterRadius_mm,22.186
TeethNumber,12
TeethThickness_mm,15.71410778297576
TeethInnerRadius_mm,11.82
TeethOuterRadius_mm,22.186
PoleShoeThickness_mm,3.0
CoilGapDistance_mm,0.1
CoilAdjacentDistance_mm,0.2
CoilWidth_mm,1.8138648235361958
StatorMaxThickness_mm,20.325
StatorMinThickness_mm,20.325
TeethMaterial,NO30-Cogent
BackIronMaterial,NO30-Cogent
CoilMaterial,Copper
AirRingMaterial,Air
Rotor,
BackIronRotorThickness_mm,2.6702170471722866
MagnetsNumber,14
MagnetsThickness_mm,6.288229312732655
MagnetsInnerRadius_mm,11.32
MagnetsOuterRadius_mm,22.686
StructureStepWidthRatio_mm,1000.0
XThickness_mm,1.0
XToMagnetRatio_mm,2500.0
RotorMaxThickness_mm,9.207999999999998
RotorMinThickness_mm,9.207999999999998
StructureMaterial,Air
MagnetsMaterial,BMN-52SH (GBD)
XMaterial,NO30-Cogent
BackIronMaterial,AISI 1010 Annealed
AirRingMaterial,Air
Simulation,
NumberOfPhases,3
CurrentDensityRMS,15000000.0
DCSupplyVoltage,48.0
FillFactor,0.6
RPM,2500.0
MagnetTemperature_C,20.0
DynamicSourceMagnetization,False
Slots,12
Poles,14
ElectricalFrequency_Hz,291.66666666666663
CurrentDensityPeak,21213203.43559643
Output,
SlotFillFactor,
RmsSupplyCurrent_A,239.30175238012032
PeakSupplyCurrent_A,338.42378371561426
PeakCurrentDensity_Aperm2,12727922.061357858
AverageDAxisPhase_A,-0.0
AverageQAxisPhase_A,338.4237837156163
AverageDAxisPhase_V,-0.2688498302829478
AverageQAxisPhase_V,0.5075057177025863
PeakPhaseBackEmf_V,0.4446087480875512
RmsPhaseBackEmf_V,0.31438586074756886
PeakPhaseTerminalVoltage_V,0.5743189747378952
PeakLineToLineTerminalVoltage_SVM_V,0.9947496439969009
PeakLineToLineBackEmf_V,0.7700849411772305
RmsLineToLineBackEmf_V,0.5445322839960632
PeakPhaseInducedVoltage_V,0.5285176186997652
RmsPhaseInducedVoltage_V,0.37371839215917
PeakLineToLineInducedVoltage_V,0.9154193682833083
RmsLineToLineInducedVoltage_V,0.6472992429426327
TotalTorque_Nm,0.9364859894339715
ReluctanceTorque_Nm,-0.0
MagnetTorque_Nm,0.8569036512571603
CoggingTorque_Nm,0.023692430913671424
TorqueRipple_Percent,4.012853793286827
TorqueRippleAbsolute_Nm,0.037579813550600805
TorquePerAxialHeight_NmPerm,31.70981578010942
TorquePerMachineCost_NmPerDollar,
TorqueDensity_NmPerKg,3.6745668471632795
TorqueDensityCopperMass_NmPerKg,14.962175801420312
TorqueDensityMagnetMass_NmPerKg,18.040611475066473
ApperentElectricalPower_W,291.5448007357079
ActiveElectricalPower_W,257.62800786332804
OutputMechanicalPower_KW,0.24515340037538522
Efficiency_Percent,89.2370356757252
PowerFactor,0.883665245318073
StatorWindingResistanceLoss_W,26.639471732743434
StatorWindingSimulationLoss_W,26.639681483718448
TotalIronCoreLoss_W,2.164428925758355
EddyCurrentIronCoreLoss_W,0.0
SteinmetzHysteresisLossTeeth_W,0.22789479292681572
SteinmetzHysteresisLossBackirons_W,0.053327150735777804
SteinmetzHysteresisLossPoleshoes_W,0.0
SteinmetzLossTotal_W,0.2812219436625935
SteinmetzEddyHysteresisLossTeeth_W,0.2544210666380402
SteinmetzEddyLossTeeth_W,5.645581509182679e-13
SteinmetzEddyHysteresisLossBackirons_W,0.059534269275634696
SteinmetzEddyLossBackirons_W,1.269321299001853e-13
SteinmetzEddyHysteresisLossPoleshoes_W,0.0
SteinmetzEddyLossPoleshoes_W,0.0
SteinmetzEddyLossTotal_W,0.3139553359143664
BertottiHysteresisLossTeeth_W,0.0034439424364317295
BertottiEddyLossTeeth_W,3.5827820149156797
BertottiExcessLossTeeth_W,0.4120392960232744
BertottiHysteresisLossBackirons_W,0.0016800950471977424
BertottiEddyLossBackirons_W,0.8055328780244004
BertottiExcessLossBackirons_W,0.10850704936496666
BertottiHysteresisLossPoleshoes_W,0.0
BertottiEddyLossPoleshoes_W,0.0
BertottiExcessLossPoleshoes_W,0.0
BertottiLossTotal_W,4.91398527581195
MaxwellHysteresisLossTeeth_W,0.011685992481532927
MaxwellEddyLossTeeth_W,3.408414473746349
MaxwellExcessLossTeeth_W,0.4651819825326246
MaxwellHysteresisLossBackirons_W,0.0026274138691751545
MaxwellEddyLossBackirons_W,0.7663290451684236
MaxwellExcessLossBackirons_W,0.12250172454306377
MaxwellHysteresisLossPoleshoes_W,0.0
MaxwellEddyLossPoleshoes_W,0.0
MaxwellExcessLossPoleshoes_W,0.0
MaxwellLossTotal_W,4.776740632341169
MagnetEddyCurrentLoss_W,0.40499999999999997
OtherEddyCurrentLoss_W,0.3592857142857143
WindingEddyCurrentLoss_W,0
RotorStructureEddyCurrentLoss_W,0.0
TotalLoss_W,29.568186372787505
BRemanent_T,1.4486227210761375
HcJ_kAPerM,1594.7740720039003
Hd5_kAPerM,1552.9736594088474
Hd10_kAPerM,1567.1478588375633
MaxDemagField_kAPerM,-1051.1124029573239
MinDemagField_kAPerM,-1270.472001946346
MaxDemagFactor,0.7349362989476695
MinDemagFactor,0.7349362989476695
DemagFactorPercentile99_9,0.7349362989476695
DemagFactorPercentile99,0.7349362989476695
DemagFactorPercentile95,0.7349362989476695
DemagFactorPercentile90,0.7349362989476695
DemagFactorPercentile85,0.7349362989476695
DemagFactorPercentile80,0.7349362989476695
PercentileOfDemagFactorAt0_9_Percent,100.0
PercentileOfDemagFieldAtHd5_Percent,100.0
PercentileOfDemagFieldAtHd10_Percent,100.0
DemagFactorMean,0.735
DemagFactorStandardDeviation,0.0
DemagFactorCorrelationCoefficientR2,nan
DemagPerformanceDegrationOnTorque_Percent,1.37
DiscretizationError_Percent,
VelocityConstantPhasePeakKv_RpmPerV,5657.0696324218125
VelocityConstantOptimalNoLoadPhasePeakKv_RpmPerV,5622.9213004772155
BackEmfConstantPhasePeakKe_VPerRpm,0.00017676996483635227
BackEmfConstantPhasePeakKeElec_VsPerRad,0.00024114697451902274
BackEmfConstantPhasePeakKeMech_VsPerRad,0.0016880288216331591
BackEmfConstantLineToLineRmsKe_VPerRpm,0.00021649810784939394
BackEmfConstantLineToLineRmsKeElec_VsPerRad,0.0002953435202937713
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.0020674046420563986
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,0.00017784349923502047
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,0.00024261147428582757
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.001698280320000793
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,0.00021781291359842527
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,0.00029713715887231965
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.0020799601121062375
TorqueConstantKtFromFluxLinkage_NmPerA,0.0025320432324497386
TorqueConstantKtFromFluxLinkage_NmPerArms,0.003580849879845432
TorqueConstantOptimalNoLoadKt_NmPerA,0.0025474204800011893
