Parameter,Value
Machine,
Configuration,BSARB
MachineInnerRadius_mm,21.387321473431157
MachineOuterRadius_mm,34.0
MachineThickness_mm,19.473
FullMachineOuterRadius_mm,34.0
FullMachineInnerRadius_mm,21.387
AirGapThickness_mm,0.5
Stator,
BackIronStatorThickness_mm,1.8264796600187962
BackIronStatorInnerRadius_mm,23.024
BackIronStatorOuterRadius_mm,32.363
TeethNumber,24
TeethThickness_mm,12.881595463930564
TeethInnerRadius_mm,23.024
TeethOuterRadius_mm,32.363
PoleShoeThickness_mm,3.0
CoilGapDistance_mm,0.1
CoilAdjacentDistance_mm,0.2
CoilWidth_mm,1.636820834671339
StatorMaxThickness_mm,14.958
StatorMinThickness_mm,14.958
TeethMaterial,NO30-Cogent
BackIronMaterial,NO30-Cogent
CoilMaterial,Copper
AirRingMaterial,Air
Rotor,
BackIronRotorThickness_mm,2.2650771322163505
MagnetsNumber,26
MagnetsThickness_mm,2.0001107627291597
MagnetsInnerRadius_mm,22.523999999999997
MagnetsOuterRadius_mm,32.86300000000001
StructureStepWidthRatio_mm,1000.0
XThickness_mm,1.0
XToMagnetRatio_mm,2500.0
RotorMaxThickness_mm,4.515
RotorMinThickness_mm,4.515
StructureMaterial,Air
MagnetsMaterial,BMN-52SH (GBD)
XMaterial,NO30-Cogent
BackIronMaterial,AISI 1010 Annealed
AirRingMaterial,Air
Simulation,
NumberOfPhases,3
CurrentDensityRMS,15000000.0
DCSupplyVoltage,48.0
FillFactor,0.6
RPM,2500.0
MagnetTemperature_C,20.0
DynamicSourceMagnetization,False
Slots,24
Poles,26
ElectricalFrequency_Hz,541.6666666666666
CurrentDensityPeak,21213203.43559643
Output,
SlotFillFactor,
RmsSupplyCurrent_A,175.40406113257723
PeakSupplyCurrent_A,248.0588021490102
PeakCurrentDensity_Aperm2,12727922.061357858
AverageDAxisPhase_A,-0.0
AverageQAxisPhase_A,248.05880214901174
AverageDAxisPhase_V,-0.5865292324388153
AverageQAxisPhase_V,1.236665580923295
PeakPhaseBackEmf_V,1.1665843488434917
RmsPhaseBackEmf_V,0.8248997038933259
PeakPhaseTerminalVoltage_V,1.368706798238986
PeakLineToLineTerminalVoltage_SVM_V,2.370669715214848
PeakLineToLineBackEmf_V,2.0205833635115824
RmsLineToLineBackEmf_V,1.4287681982917628
PeakPhaseInducedVoltage_V,1.2881571091348278
RmsPhaseInducedVoltage_V,0.9108646271028963
PeakLineToLineInducedVoltage_V,2.231153561152569
RmsLineToLineInducedVoltage_V,1.5776638129594958
TotalTorque_Nm,1.6877167207390464
ReluctanceTorque_Nm,-0.0
MagnetTorque_Nm,1.6485974877176686
CoggingTorque_Nm,-0.025350817319089232
TorqueRipple_Percent,2.900838537429685
TorqueRippleAbsolute_Nm,0.04895793703784279
TorquePerAxialHeight_NmPerm,86.66957945560758
TorquePerMachineCost_NmPerDollar,
TorqueDensity_NmPerKg,6.938793088480158
TorqueDensityCopperMass_NmPerKg,21.502558067772622
TorqueDensityMagnetMass_NmPerKg,68.67827347447131
ApperentElectricalPower_W,509.27965329655797
ActiveElectricalPower_W,460.14867399411645
OutputMechanicalPower_KW,0.4418106598793315
Efficiency_Percent,89.59866781121838
PowerFactor,0.903528485804572
StatorWindingResistanceLoss_W,33.408404824334184
StatorWindingSimulationLoss_W,33.40657259712639
TotalIronCoreLoss_W,8.740921118539712
EddyCurrentIronCoreLoss_W,0.0
SteinmetzHysteresisLossTeeth_W,0.31522763881604243
SteinmetzHysteresisLossBackirons_W,0.09220661719065473
SteinmetzHysteresisLossPoleshoes_W,0.0
SteinmetzLossTotal_W,0.40743425600669714
SteinmetzEddyHysteresisLossTeeth_W,0.36578682518513395
SteinmetzEddyLossTeeth_W,2.245666629450444e-12
SteinmetzEddyHysteresisLossBackirons_W,0.1069955862159763
SteinmetzEddyLossBackirons_W,6.612720442039511e-13
SteinmetzEddyHysteresisLossPoleshoes_W,0.0
SteinmetzEddyLossPoleshoes_W,0.0
SteinmetzEddyLossTotal_W,0.4727824114040171
BertottiHysteresisLossTeeth_W,0.007040373273036396
BertottiEddyLossTeeth_W,14.251382250711949
BertottiExcessLossTeeth_W,1.1956660247098332
BertottiHysteresisLossBackirons_W,0.001917869304765872
BertottiEddyLossBackirons_W,4.1965448255186635
BertottiExcessLossBackirons_W,0.34359709496528595
BertottiHysteresisLossPoleshoes_W,0.0
BertottiEddyLossPoleshoes_W,0.0
BertottiExcessLossPoleshoes_W,0.0
BertottiLossTotal_W,19.996148438483534
MaxwellHysteresisLossTeeth_W,0.02502977200784499
MaxwellEddyLossTeeth_W,13.557793170780338
MaxwellExcessLossTeeth_W,1.3498768131814582
MaxwellHysteresisLossBackirons_W,0.0073704121014778225
MaxwellEddyLossBackirons_W,3.992306554927217
MaxwellExcessLossBackirons_W,0.38791246216325814
MaxwellHysteresisLossPoleshoes_W,0.0
MaxwellEddyLossPoleshoes_W,0.0
MaxwellExcessLossPoleshoes_W,0.0
MaxwellLossTotal_W,19.32028918516159
MagnetEddyCurrentLoss_W,1.302
OtherEddyCurrentLoss_W,7.8376
WindingEddyCurrentLoss_W,0
RotorStructureEddyCurrentLoss_W,0.0
TotalLoss_W,51.288925942873895
BRemanent_T,1.4486227210761375
HcJ_kAPerM,1594.7740720039003
Hd5_kAPerM,1552.9736594088474
Hd10_kAPerM,1567.1478588375633
MaxDemagField_kAPerM,-1063.0141853292246
MinDemagField_kAPerM,-1245.506826130764
MaxDemagFactor,0.7303216045845727
MinDemagFactor,0.7303216045845727
DemagFactorPercentile99_9,0.7303216045845727
DemagFactorPercentile99,0.7303216045845727
DemagFactorPercentile95,0.7303216045845727
DemagFactorPercentile90,0.7303216045845727
DemagFactorPercentile85,0.7303216045845727
DemagFactorPercentile80,0.7303216045845727
PercentileOfDemagFactorAt0_9_Percent,100.0
PercentileOfDemagFieldAtHd5_Percent,100.0
PercentileOfDemagFieldAtHd10_Percent,100.0
DemagFactorMean,0.73
DemagFactorStandardDeviation,0.0
DemagFactorCorrelationCoefficientR2,nan
DemagPerformanceDegrationOnTorque_Percent,0.66
DiscretizationError_Percent,
VelocityConstantPhasePeakKv_RpmPerV,2155.274792679275
VelocityConstantOptimalNoLoadPhasePeakKv_RpmPerV,2143.0083495277536
BackEmfConstantPhasePeakKe_VPerRpm,0.0004639779592823407
BackEmfConstantPhasePeakKeElec_VsPerRad,0.0003408202417175754
BackEmfConstantPhasePeakKeMech_VsPerRad,0.00443066314232848
BackEmfConstantLineToLineRmsKe_VPerRpm,0.0005682546260697823
BackEmfConstantLineToLineRmsKeElec_VsPerRad,0.0004174178431100422
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.005426431960430547
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,0.00046663373953739664
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,0.000342771075049997
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.004456023975649961
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,0.000571507279316705
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,0.00041980711622886525
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.005457492510975248
TorqueConstantKtFromFluxLinkage_NmPerA,0.00664599471349272
TorqueConstantKtFromFluxLinkage_NmPerArms,0.009398855859281298
TorqueConstantOptimalNoLoadKt_NmPerA,0.006684035963474942
TorqueConstantOptimalNoLoadKt_NmPerArms,0.00945265431093578
