Parameter,Value
Machine,
Configuration,BSARB
MachineInnerRadius_mm,11.382276644557901
MachineOuterRadius_mm,17.056854423542735
MachineThickness_mm,16.993000000000002
FullMachineOuterRadius_mm,17.057
FullMachineInnerRadius_mm,11.382
AirGapThickness_mm,0.5
Stator,
BackIronStatorThickness_mm,1.355265803040501
BackIronStatorInnerRadius_mm,13.83
BackIronStatorOuterRadius_mm,14.609
TeethNumber,12
TeethThickness_mm,8.111826314877817
TeethInnerRadius_mm,13.83
TeethOuterRadius_mm,14.609
PoleShoeThickness_mm,3.0
CoilGapDistance_mm,0.1
CoilAdjacentDistance_mm,0.2
CoilWidth_mm,2.4481257931292477
StatorMaxThickness_mm,9.717
StatorMinThickness_mm,9.717
TeethMaterial,NO30-Cogent
BackIronMaterial,NO30-Cogent
CoilMaterial,Copper
AirRingMaterial,Air
Rotor,
BackIronRotorThickness_mm,4.788653141985061
MagnetsNumber,14
MagnetsThickness_mm,2.2369011123492077
MagnetsInnerRadius_mm,13.33
MagnetsOuterRadius_mm,15.109
StructureStepWidthRatio_mm,1000.0
XThickness_mm,1.0
XToMagnetRatio_mm,2500.0
RotorMaxThickness_mm,7.276000000000001
RotorMinThickness_mm,7.276000000000001
StructureMaterial,Air
MagnetsMaterial,BMN-52SH (GBD)
XMaterial,NO30-Cogent
BackIronMaterial,11SMn30
AirRingMaterial,Air
Simulation,
NumberOfPhases,3
CurrentDensityRMS,22000000.0
DCSupplyVoltage,48.0
FillFactor,0.4
RPM,24500.0
MagnetTemperature_C,20.0
DynamicSourceMagnetization,False
Slots,12
Poles,14
ElectricalFrequency_Hz,2858.333333333333
CurrentDensityPeak,31112698.372208092
Output,
SlotFillFactor,
RmsSupplyCurrent_A,163.48607827836463
PeakSupplyCurrent_A,231.20422916045274
PeakCurrentDensity_Aperm2,12445079.348883238
AverageDAxisPhase_A,-0.0
AverageQAxisPhase_A,231.20422916045413
AverageDAxisPhase_V,-0.19035860173038288
AverageQAxisPhase_V,0.23355353616936048
PeakPhaseBackEmf_V,0.2594991739745155
RmsPhaseBackEmf_V,0.18349362562968755
PeakPhaseTerminalVoltage_V,0.301303255060345
PeakLineToLineTerminalVoltage_SVM_V,0.5218725462504019
PeakLineToLineBackEmf_V,0.4494657538460161
RmsLineToLineBackEmf_V,0.31782028245564153
PeakPhaseInducedVoltage_V,0.2789243311397093
RmsPhaseInducedVoltage_V,0.19722928598681055
PeakLineToLineInducedVoltage_V,0.48311111300114246
RmsLineToLineInducedVoltage_V,0.34161114406968823
TotalTorque_Nm,0.030704892140841378
ReluctanceTorque_Nm,-0.0
MagnetTorque_Nm,0.03392339533440179
CoggingTorque_Nm,-0.005982355185755827
TorqueRipple_Percent,3.0073730182900573
TorqueRippleAbsolute_Nm,0.0009234106415387279
TorquePerAxialHeight_NmPerm,1.8069141494051302
TorquePerMachineCost_NmPerDollar,
TorqueDensity_NmPerKg,1.4200737634610574
TorqueDensityCopperMass_NmPerKg,2.730911289091688
TorqueDensityMagnetMass_NmPerKg,13.399792072844225
ApperentElectricalPower_W,104.49388024464416
ActiveElectricalPower_W,80.99784794660285
OutputMechanicalPower_KW,0.0787717128220538
Efficiency_Percent,85.05844179067553
PowerFactor,0.7751444176153502
StatorWindingResistanceLoss_W,10.2949418832285
StatorWindingSimulationLoss_W,10.29402749111581
TotalIronCoreLoss_W,2.32970387206731
EddyCurrentIronCoreLoss_W,0.0
SteinmetzHysteresisLossTeeth_W,0.013521272317476102
SteinmetzHysteresisLossBackirons_W,0.005306857380864996
SteinmetzHysteresisLossPoleshoes_W,0.0
SteinmetzLossTotal_W,0.0188281296983411
SteinmetzEddyHysteresisLossTeeth_W,0.01740694292576941
SteinmetzEddyLossTeeth_W,1.69641755552307e-12
SteinmetzEddyHysteresisLossBackirons_W,0.0068319133960445125
SteinmetzEddyLossBackirons_W,6.523989319660501e-13
SteinmetzEddyHysteresisLossPoleshoes_W,0.0
SteinmetzEddyLossPoleshoes_W,0.0
SteinmetzEddyLossTotal_W,0.024238856324162738
BertottiHysteresisLossTeeth_W,0.0006015360898227775
BertottiEddyLossTeeth_W,10.765754241311372
BertottiExcessLossTeeth_W,0.34618310115972045
BertottiHysteresisLossBackirons_W,0.00032141406814286565
BertottiEddyLossBackirons_W,4.140234546603074
BertottiExcessLossBackirons_W,0.14393709344920155
BertottiHysteresisLossPoleshoes_W,0.0
BertottiEddyLossPoleshoes_W,0.0
BertottiExcessLossPoleshoes_W,0.0
BertottiLossTotal_W,15.397031932681335
MaxwellHysteresisLossTeeth_W,0.003583138562926469
MaxwellEddyLossTeeth_W,10.241804392262365
MaxwellExcessLossTeeth_W,0.39083199799389107
MaxwellHysteresisLossBackirons_W,0.001377983718648103
MaxwellEddyLossBackirons_W,3.938736795763084
MaxwellExcessLossBackirons_W,0.16250135153832965
MaxwellHysteresisLossPoleshoes_W,0.0
MaxwellEddyLossPoleshoes_W,0.0
MaxwellExcessLossPoleshoes_W,0.0
MaxwellLossTotal_W,14.738835659839244
MagnetEddyCurrentLoss_W,0.06642857142857143
OtherEddyCurrentLoss_W,1.1461428571428571
WindingEddyCurrentLoss_W,0
RotorStructureEddyCurrentLoss_W,0.0
TotalLoss_W,13.837217183867239
BRemanent_T,1.4486227210761375
HcJ_kAPerM,1594.7740720039003
Hd5_kAPerM,1552.9736594088474
Hd10_kAPerM,1567.1478588375633
MaxDemagField_kAPerM,-1093.5302228446367
MinDemagField_kAPerM,-1206.1379317914984
MaxDemagFactor,0.6958801635555777
MinDemagFactor,0.6958801635555777
DemagFactorPercentile99_9,0.6958801635555777
DemagFactorPercentile99,0.6958801635555777
DemagFactorPercentile95,0.6958801635555777
DemagFactorPercentile90,0.6958801635555777
DemagFactorPercentile85,0.6958801635555777
DemagFactorPercentile80,0.6958801635555777
PercentileOfDemagFactorAt0_9_Percent,100.0
PercentileOfDemagFieldAtHd5_Percent,100.0
PercentileOfDemagFieldAtHd10_Percent,100.0
DemagFactorMean,0.696
DemagFactorStandardDeviation,0.0
DemagFactorCorrelationCoefficientR2,-inf
DemagPerformanceDegrationOnTorque_Percent,0.44
DiscretizationError_Percent,
VelocityConstantPhasePeakKv_RpmPerV,97624.56267928242
VelocityConstantOptimalNoLoadPhasePeakKv_RpmPerV,94412.63193541439
BackEmfConstantPhasePeakKe_VPerRpm,1.0243323734880268e-05
BackEmfConstantPhasePeakKeElec_VsPerRad,1.3973790909400541e-05
BackEmfConstantPhasePeakKeMech_VsPerRad,9.78165363658038e-05
BackEmfConstantLineToLineRmsKe_VPerRpm,1.2545458210298344e-05
BackEmfConstantLineToLineRmsKeElec_VsPerRad,1.711432875018672e-05
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.00011980030125130705
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,1.059180301936798e-05
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,1.4449181201040653e-05
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.00010114426840728458
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,1.297225642676088e-05
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,1.76965605717823e-05
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.00012387592400247608
TorqueConstantKtFromFluxLinkage_NmPerA,0.0001467248045487057
TorqueConstantKtFromFluxLinkage_NmPerArms,0.0002075002085293212
TorqueConstantOptimalNoLoadKt_NmPerA,0.00015171640261092687
