Parameter,Value
Machine,
Configuration,BSARB
MachineInnerRadius_mm,20.415895953754585
MachineOuterRadius_mm,46.5
MachineThickness_mm,26.938
FullMachineOuterRadius_mm,46.5
FullMachineInnerRadius_mm,20.416
AirGapThickness_mm,0.5
Stator,
BackIronStatorThickness_mm,2.821268220015131
BackIronStatorInnerRadius_mm,22.058999999999997
BackIronStatorOuterRadius_mm,44.857
TeethNumber,24
TeethThickness_mm,13.812957509097716
TeethInnerRadius_mm,22.058999999999997
TeethOuterRadius_mm,44.857
PoleShoeThickness_mm,3.0
CoilGapDistance_mm,0.1
CoilAdjacentDistance_mm,0.2
CoilWidth_mm,1.6428572244457733
StatorMaxThickness_mm,16.884
StatorMinThickness_mm,16.884
TeethMaterial,NO30-Cogent
BackIronMaterial,NO30-Cogent
CoilMaterial,Copper
AirRingMaterial,Air
Rotor,
BackIronRotorThickness_mm,7.0
MagnetsNumber,20
MagnetsThickness_mm,2.8035695768300375
MagnetsInnerRadius_mm,21.558999999999997
MagnetsOuterRadius_mm,45.357
StructureStepWidthRatio_mm,1000.0
XThickness_mm,1.0
XToMagnetRatio_mm,2500.0
RotorMaxThickness_mm,10.054
RotorMinThickness_mm,10.054
StructureMaterial,Air
MagnetsMaterial,BMN-52SH (GBD)
XMaterial,NO30-Cogent
BackIronMaterial,11SMn30
AirRingMaterial,Air
Simulation,
NumberOfPhases,3
CurrentDensityRMS,15000000.0
DCSupplyVoltage,48.0
FillFactor,0.6
RPM,3000.0
MagnetTemperature_C,20.0
DynamicSourceMagnetization,False
Slots,24
Poles,20
ElectricalFrequency_Hz,500.0
CurrentDensityPeak,21213203.43559643
Output,
SlotFillFactor,
RmsSupplyCurrent_A,189.02564855086152
PeakSupplyCurrent_A,267.32263581699857
PeakCurrentDensity_Aperm2,12727922.061357858
AverageDAxisPhase_A,-0.0
AverageQAxisPhase_A,267.32263581700016
AverageDAxisPhase_V,-2.0518153044094083
AverageQAxisPhase_V,4.507145347877283
PeakPhaseBackEmf_V,4.539904584712126
RmsPhaseBackEmf_V,3.2101973177898406
PeakPhaseTerminalVoltage_V,4.952202058710903
PeakLineToLineTerminalVoltage_SVM_V,8.577465575034475
PeakLineToLineBackEmf_V,7.863345402236286
RmsLineToLineBackEmf_V,5.5602248567333366
PeakPhaseInducedVoltage_V,4.792606672298837
RmsPhaseInducedVoltage_V,3.3888846775424013
PeakLineToLineInducedVoltage_V,8.30103825711519
RmsLineToLineInducedVoltage_V,5.86972044249511
TotalTorque_Nm,5.61346920944747
ReluctanceTorque_Nm,0.0
MagnetTorque_Nm,5.594798453775308
CoggingTorque_Nm,-0.17331778277220872
TorqueRipple_Percent,3.842632651965077
TorqueRippleAbsolute_Nm,0.21570500075023435
TorquePerAxialHeight_NmPerm,208.38478021558655
TorquePerMachineCost_NmPerDollar,
TorqueDensity_NmPerKg,5.896899356098727
TorqueDensityCopperMass_NmPerKg,33.860969640387225
TorqueDensityMagnetMass_NmPerKg,59.010070211271305
ApperentElectricalPower_W,1985.7535611494595
ActiveElectricalPower_W,1807.292961607328
OutputMechanicalPower_KW,1.7633934689363782
Efficiency_Percent,8.706100673337219e-64
PowerFactor,0.9101295331738802
StatorWindingResistanceLoss_W,70.55870322725812
StatorWindingSimulationLoss_W,70.5593304850822
TotalIronCoreLoss_W,2.0254687317559295e+68
EddyCurrentIronCoreLoss_W,0.0
SteinmetzHysteresisLossTeeth_W,1.28403009397655
SteinmetzHysteresisLossBackirons_W,0.4387705590461858
SteinmetzHysteresisLossPoleshoes_W,0.0
SteinmetzLossTotal_W,1.7228006530227358
SteinmetzEddyHysteresisLossTeeth_W,1.4825475710149452
SteinmetzEddyLossTeeth_W,8.05155919196328e-12
SteinmetzEddyHysteresisLossBackirons_W,0.5066066845169649
SteinmetzEddyLossBackirons_W,2.7601492071778994e-12
SteinmetzEddyHysteresisLossPoleshoes_W,0.0
SteinmetzEddyLossPoleshoes_W,0.0
SteinmetzEddyLossTotal_W,1.989154255542722
BertottiHysteresisLossTeeth_W,0.023756167823742565
BertottiEddyLossTeeth_W,51.096563601242465
BertottiExcessLossTeeth_W,4.313664577670287
BertottiHysteresisLossBackirons_W,0.008064308323553673
BertottiEddyLossBackirons_W,17.516376164042637
BertottiExcessLossBackirons_W,1.4631362441542926
BertottiHysteresisLossPoleshoes_W,0.0
BertottiEddyLossPoleshoes_W,0.0
BertottiExcessLossPoleshoes_W,0.0
BertottiLossTotal_W,74.42156106325699
MaxwellHysteresisLossTeeth_W,0.0972195719493235
MaxwellEddyLossTeeth_W,48.609785974175296
MaxwellExcessLossTeeth_W,4.870018611302729
MaxwellHysteresisLossBackirons_W,0.03332777143412731
MaxwellEddyLossBackirons_W,16.663885716896882
MaxwellExcessLossBackirons_W,1.6518439511472969
MaxwellHysteresisLossPoleshoes_W,0.0
MaxwellEddyLossPoleshoes_W,0.0
MaxwellExcessLossPoleshoes_W,0.0
MaxwellLossTotal_W,71.92608159690566
MagnetEddyCurrentLoss_W,9.586142857142859
OtherEddyCurrentLoss_W,37.91357142857142
WindingEddyCurrentLoss_W,0
RotorStructureEddyCurrentLoss_W,0.0
TotalLoss_W,2.0254687317559295e+68
BRemanent_T,1.4486227210761375
HcJ_kAPerM,1594.7740720039003
Hd5_kAPerM,1552.9736594088474
Hd10_kAPerM,1567.1478588375633
MaxDemagField_kAPerM,-1063.507097217536
MinDemagField_kAPerM,-1227.7833502004426
MaxDemagFactor,0.7079786299642925
MinDemagFactor,0.7079786299642925
DemagFactorPercentile99_9,0.7079786299642925
DemagFactorPercentile99,0.7079786299642925
DemagFactorPercentile95,0.7079786299642925
DemagFactorPercentile90,0.7079786299642925
DemagFactorPercentile85,0.7079786299642925
DemagFactorPercentile80,0.7079786299642925
PercentileOfDemagFactorAt0_9_Percent,100.0
PercentileOfDemagFieldAtHd5_Percent,100.0
PercentileOfDemagFieldAtHd10_Percent,100.0
DemagFactorMean,0.708
DemagFactorStandardDeviation,0.0
DemagFactorCorrelationCoefficientR2,-inf
DemagPerformanceDegrationOnTorque_Percent,0.65
DiscretizationError_Percent,
VelocityConstantPhasePeakKv_RpmPerV,684.4061911779623
VelocityConstantOptimalNoLoadPhasePeakKv_RpmPerV,660.8068394437919
BackEmfConstantPhasePeakKe_VPerRpm,0.001461120622358566
BackEmfConstantPhasePeakKeElec_VsPerRad,0.0013952674170112337
BackEmfConstantPhasePeakKeMech_VsPerRad,0.013952674170112336
BackEmfConstantLineToLineRmsKe_VPerRpm,0.0017894999887181403
BackEmfConstantLineToLineRmsKeElec_VsPerRad,0.0017088466132042979
BackEmfConstantLineToLineRmsKeMech_VsPerRad,0.017088466132042977
BackEmfConstantOptimalNoLoadPhasePeakKe_VPerRpm,0.0015133015282373752
BackEmfConstantOptimalNoLoadPhasePeakKeElec_VsPerRad,0.0014450965116449862
BackEmfConstantOptimalNoLoadPhasePeakKeMech_VsPerRad,0.014450965116449863
BackEmfConstantOptimalNoLoadLineToLineRmsKe_VPerRpm,0.001853408285577779
BackEmfConstantOptimalNoLoadLineToLineRmsKeElec_VsPerRad,0.0017698745413030725
BackEmfConstantOptimalNoLoadLineToLineRmsKeMech_VsPerRad,0.017698745413030723
TorqueConstantKtFromFluxLinkage_NmPerA,0.020929011255168502
TorqueConstantKtFromFluxLinkage_NmPerArms,0.02959809156411845
TorqueConstantOptimalNoLoadKt_NmPerA,0.021676447674674797
TorqueConstantOptimalNoLoadKt_NmPerArms,0.03065512628559584
